Grid Size ,64
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,0,0,0,1.1463661194,1.1463699341,0,-36.11054039,-36.110534668,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,0,1.1463661194,1.1463661194,0,-34.9641742706,-36.1105365753,0
0,1,1,1,1.1463661194,1.1463699341,0,-34.9641742706,-34.9641685485,0
0,1,0,1,1.1463661194,1.1463661194,0,-36.11054039,-34.9641666412,0
0,0,1,0,1.1463661194,1.1463661194,0,-34.9641742706,-36.1105365753,0
0,1,0,1,1.1463661194,1.1463661194,0,-36.11054039,-34.9641666412,0
0,1,0,0,1.1463661194,1.1463699341,0,-36.11054039,-36.110534668,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,2,0,1.1463623047,1.1463661194,0,-33.8178100586,-36.1105365753,0
0,1,2,1,1.1463661193,1.1463661194,0,-33.8178081512,-34.9641704559,0
0,1,1,1,1.1463661194,1.1463699341,0,-34.9641742706,-34.9641685485,0
0,0,2,0,1.1463623047,1.1463661194,0,-33.8178100586,-36.1105365753,0
0,1,1,1,1.1463661194,1.1463699341,0,-34.9641742706,-34.9641685485,0
0,1,1,0,1.1463661194,1.1463661194,0,-34.9641742706,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,0,1.1463661193,1.1463661194,0,-32.6714458466,-36.1105365753,0
0,1,3,1,1.1463661194,1.1463661194,0,-32.6714420319,-34.9641704559,0
0,1,2,1,1.1463661193,1.1463661194,0,-33.8178081512,-34.9641704559,0
0,0,3,0,1.1463661193,1.1463661194,0,-32.6714458466,-36.1105365753,0
0,1,2,1,1.1463661193,1.1463661194,0,-33.8178081512,-34.9641704559,0
0,1,2,0,1.1463623047,1.1463661194,0,-33.8178100586,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,0,1.1463661194,1.1463661194,0,-31.5250797272,-36.1105365753,0
0,1,4,1,1.1463623047,1.1463661194,0,-31.5250778199,-34.9641704559,0
0,1,3,1,1.1463661194,1.1463661194,0,-32.6714420319,-34.9641704559,0
